company_name,country_raw,country_list,country_iso3_list,strategic_region,core_scientific_field,company_subfield,physical_ai_use,active_status,independence_status,physical_ai_fit,investment_low_usd_m,investment_base_usd_m,investment_high_usd_m,investment_metric_type,investment_confidence,latest_round_or_event,latest_round_or_event_year,do_not_aggregate_without_metric_filter,company_url,source_urls,status_notes,is_multi_country,company_count
Physical Intelligence (Pi),USA,United States,USA,US,AI / Robotics,Humanoids & robot foundation models,"Software: Developing pi_0, a general-purpose AI model that acts as a universal brain for any robot. It translates text/images directly into physical motor commands.",Active,Independent private company,Core physical AI / robot foundation model,1100.0,1100.0,1500.0,reported_total_funding,High,2025 $600M financing round,2025,Use caution,https://www.physicalintelligence.company,https://www.therobotreport.com/physical-intelligence-raises-600m-advance-robot-foundation-models/ ; https://tsginvest.com/physical-intelligence/,Keep active. Funding is fast-moving; use range.,False,1.0
Figure AI,USA,United States,USA,US,Embodied AI,Humanoids & robot foundation models,"Hardware/Software: Building Figure 01, a commercially viable humanoid. Uses OpenAI foundation models to give the robot semantic understanding of physical space and objects.",Active,Independent private company,Core physical AI / humanoids,1000.0,1675.0,1800.0,latest_round_plus_prior_known_rounds_estimate,High,2025 Series C >$1B,2025,Yes,https://figure.ai,https://www.figure.ai/news/series-c ; https://www.prnewswire.com/news-releases/figure-exceeds-1b-in-series-c-funding-at-39b-post-money-valuation-302556936.html,Active. Base estimate combines disclosed latest round with previous list estimate; do not treat as audited cap table.,False,1.0
Skild AI,USA,United States,USA,US,AI / Robotics,Humanoids & robot foundation models,"Software: Training massive foundational models on physical physics data, allowing an AI brain to adapt to multiple robot body types.",Active,Independent private company,Core physical AI / robot foundation model,1400.0,1810.0,1810.0,reported_total_funding,High,2026 $1.4B Series C,2026,Use caution,https://skild.ai,https://www.businesswire.com/news/home/20260114335623/en/Skild-AI-Raises-%241.4B-Now-Valued-Over-%2414B ; https://news.crunchbase.com/venture/robotics-startup-skild-ai-triples-valuation/,Active.,False,1.0
Covariant,USA,United States,USA,US,Robotics,Industrial robotics & automation,"Software: The Covariant Brain. Uses imitation learning and reinforcement learning to teach robotic arms to manipulate chaotic, unpredictable physical objects.",Active / status changed,Status changed: founders and some employees moved to Amazon; Amazon licensed robotic foundation models,Core physical AI / robot manipulation software,195.0,222.0,222.0,reported_total_funding_before_status_change,Medium-high,2024 Amazon licensing / founder hiring transaction,2024,Yes,https://covariant.ai,https://www.aboutamazon.com/news/company-news/amazon-covariant-ai-robots ; https://o.parsers.vc/startup/covariant.ai/,"Keep as active/status-changed, not as a normal independent startup.",False,1.0
1X Technologies,Norway,Norway,NOR,EU / Europe,Embodied AI / Mechanics,Humanoids & robot foundation models,"Hardware/Software: Backed by OpenAI; building Neo and Eve. Focuses on safe, compliant physical intelligence for humanoid robots working alongside humans.",Active,Independent private company,Core physical AI / humanoids,125.0,136.0,136.0,reported_total_funding,High,2024 $100M Series B,2024,Use caution,https://www.1x.tech,https://www.1x.tech/discover/1x-raises-100m-series-b ; https://research.contrary.com/company/1x-technologies,Active.,False,1.0
Agility Robotics,USA,United States,USA,US,Physics / Biomechanics,Humanoids & robot foundation models,"Hardware/Software: Commercializing Digit, a bipedal robot. Their breakthroughs rely on dynamic walking physics and AI-driven spatial navigation.",Active,Independent private company,Core physical AI / bipedal warehouse humanoid,288.0,288.0,640.0,reported_total_funding_range,Medium,2024/2025 reported Series C financing,2024-2025,Use caution,https://agilityrobotics.com,https://startupintros.com/agility-robotics/ ; https://tsginvest.com/agility-robotics/,Active. Funding reports vary; base uses more conservative total.,False,1.0
Shield AI,USA,United States,USA,US,Aerospace / Physics,Aerospace & defense autonomy,Software: Hivemind AI. Physical intelligence applied to aerodynamics—AI pilots that fly drones and jets autonomously in high-G environments without GPS.,Active,Independent private company,Core physical AI / autonomous aircraft and defense robotics,1500.0,3170.0,3520.0,reported_total_funding_range,Medium-high,2026 Series G / preferred equity financing,2026,Use caution,https://shield.ai,https://shield.ai/shield-ai-raises-series-g/ ; https://tracxn.com/d/companies/shield-ai/__dBMEpcxuHc3Bz8VwhGKUFtXHzjX-PElH9j5q-u2Rd_U/funding-and-investors,Active. Defense funding totals can be reported inconsistently.,False,1.0
Insilico Medicine,USA/China,United States; China,USA; CHN,Other / mixed,Bio / Chem / Robotics,"AI labs, biology & chemistry","Built LifeStar 1, a fully automated, AI-driven robotic laboratory. AI imagines a new chemical, and the physical robots synthesize and test it autonomously.",Active,Independent / public-market transition,AI-for-science plus automated labs; adjacent-to-core physical AI,500.0,611.3,611.3,reported_total_funding,Medium-high,2025 Series E about $123M and HK IPO process,2025,Use caution,https://insilico.com,https://www.eurekalert.org/news-releases/1085727 ; https://www.clay.com/dossier/insilico-medicine-funding,"Active. Physical-AI fit is mainly AI-driven automated R&D labs, not robotics-only.",True,1.0
Emerald Cloud Lab,USA,United States,USA,US,Chemistry / Life Sci,"AI labs, biology & chemistry",A physical lab where every piece of equipment is operated by robotic arms and controlled remotely by AI and scientists via code.,Active,Independent private company,Robotic cloud lab / automated science,151.1,152.0,152.0,reported_total_funding,High,2025 Series C-1 financing,2025,Use caution,https://www.emeraldcloudlab.com,https://forgeglobal.com/emerald-cloud-lab_stock/ ; https://pitchbook.com/profiles/company/108348-76,Active.,False,1.0
Culture Biosciences,USA,United States,USA,US,Synthetic Biology,"AI labs, biology & chemistry","Operates cloud-connected, robotic bioreactors. AI monitors the physical fluid dynamics, oxygen levels, and cell growth, optimizing fermentation autonomously.",Active,Independent private company,Cloud bioreactors / automated bioprocessing,100.0,107.0,107.0,reported_total_funding,Medium-high,2025 Series C,2025,Use caution,https://www.culturebiosciences.com,https://www.globenewswire.com/news-release/2025/12/16/3171244/0/en/Culture-Biosciences-Announces-Series-C-Financing-To-Accelerate-the-Future-of-Biomanufacturing.html ; https://tracxn.com/d/companies/culture-biosciences/__xSnp4UcZRnG2AnRSIiSInvSX-8VTRmvy3bk9wUMS1aM/funding-and-investors,Active.,False,1.0
