paper_id,paper_or_discovery,field_or_platform,origin_country_list,beneficiary_country,beneficiary_country_iso3,beneficiary_role,revenue_capture_low_usd,revenue_capture_base_usd,revenue_capture_high_usd,profit_proxy_low_usd,profit_proxy_base_usd,profit_proxy_high_usd,confidence_level,evidence_summary,sources,analyst_notes
5,LiCoO2 cathode for rechargeable lithium batteries,Lithium-ion batteries / layered oxide cathodes,United Kingdom,Japan,JPN,commercialization,,,,,,,example_not_audited,"Example structure only. Fill enabled revenue, attribution, shares, margins, and audited evidence before using estimates.",https://doi.org/10.1016/0025-5408(80)90012-4,Model-based starter row using batteries_materials_semiconductors_hardware role-weight defaults; monetary estimates intentionally blank.
5,LiCoO2 cathode for rechargeable lithium batteries,Lithium-ion batteries / layered oxide cathodes,United Kingdom,South Korea,KOR,manufacturing,,,,,,,example_not_audited,"Example structure only. Fill enabled revenue, attribution, shares, margins, and audited evidence before using estimates.",https://doi.org/10.1016/0025-5408(80)90012-4,Model-based starter row using batteries_materials_semiconductors_hardware role-weight defaults; monetary estimates intentionally blank.
5,LiCoO2 cathode for rechargeable lithium batteries,Lithium-ion batteries / layered oxide cathodes,United Kingdom,United States,USA,company_headquarters,,,,,,,example_not_audited,"Example structure only. Fill enabled revenue, attribution, shares, margins, and audited evidence before using estimates.",https://doi.org/10.1016/0025-5408(80)90012-4,Model-based starter row using batteries_materials_semiconductors_hardware role-weight defaults; monetary estimates intentionally blank.
5,LiCoO2 cathode for rechargeable lithium batteries,Lithium-ion batteries / layered oxide cathodes,United Kingdom,Germany,DEU,adoption_market,,,,,,,example_not_audited,"Example structure only. Fill enabled revenue, attribution, shares, margins, and audited evidence before using estimates.",https://doi.org/10.1016/0025-5408(80)90012-4,Model-based starter row using batteries_materials_semiconductors_hardware role-weight defaults; monetary estimates intentionally blank.
5,LiCoO2 cathode for rechargeable lithium batteries,Lithium-ion batteries / layered oxide cathodes,United Kingdom,United Kingdom,GBR,research_origin,,,,,,,example_not_audited,"Example structure only. Fill enabled revenue, attribution, shares, margins, and audited evidence before using estimates.",https://doi.org/10.1016/0025-5408(80)90012-4,Model-based starter row using batteries_materials_semiconductors_hardware role-weight defaults; monetary estimates intentionally blank.
9,Enzymatic amplification of beta-globin genomic sequences and restriction site analysis for diagnosis of sickle cell anemia,PCR molecular amplification,United States,United States,USA,company_headquarters,,,,,,,example_not_audited,"Example structure only. Fill enabled revenue, attribution, shares, margins, and audited evidence before using estimates.",https://doi.org/10.1126/science.2999980,Model-based starter row using pharma_biotech_vaccines role-weight defaults; monetary estimates intentionally blank.
9,Enzymatic amplification of beta-globin genomic sequences and restriction site analysis for diagnosis of sickle cell anemia,PCR molecular amplification,United States,Switzerland,CHE,company_headquarters,,,,,,,example_not_audited,"Example structure only. Fill enabled revenue, attribution, shares, margins, and audited evidence before using estimates.",https://doi.org/10.1126/science.2999980,Model-based starter row using pharma_biotech_vaccines role-weight defaults; monetary estimates intentionally blank.
9,Enzymatic amplification of beta-globin genomic sequences and restriction site analysis for diagnosis of sickle cell anemia,PCR molecular amplification,United States,Germany,DEU,equipment_supplier,,,,,,,example_not_audited,"Example structure only. Fill enabled revenue, attribution, shares, margins, and audited evidence before using estimates.",https://doi.org/10.1126/science.2999980,Model-based starter row using pharma_biotech_vaccines role-weight defaults; monetary estimates intentionally blank.
9,Enzymatic amplification of beta-globin genomic sequences and restriction site analysis for diagnosis of sickle cell anemia,PCR molecular amplification,United States,Japan,JPN,manufacturing,,,,,,,example_not_audited,"Example structure only. Fill enabled revenue, attribution, shares, margins, and audited evidence before using estimates.",https://doi.org/10.1126/science.2999980,Model-based starter row using pharma_biotech_vaccines role-weight defaults; monetary estimates intentionally blank.
9,Enzymatic amplification of beta-globin genomic sequences and restriction site analysis for diagnosis of sickle cell anemia,PCR molecular amplification,United States,United Kingdom,GBR,adoption_market,,,,,,,example_not_audited,"Example structure only. Fill enabled revenue, attribution, shares, margins, and audited evidence before using estimates.",https://doi.org/10.1126/science.2999980,Model-based starter row using pharma_biotech_vaccines role-weight defaults; monetary estimates intentionally blank.
31,Phospho-olivines as positive-electrode materials for rechargeable lithium batteries,Lithium-ion batteries / LFP cathode,United States,Japan,JPN,commercialization,,,,,,,example_not_audited,"Example structure only. Fill enabled revenue, attribution, shares, margins, and audited evidence before using estimates.",https://doi.org/10.1149/1.1837571,Model-based starter row using batteries_materials_semiconductors_hardware role-weight defaults; monetary estimates intentionally blank.
31,Phospho-olivines as positive-electrode materials for rechargeable lithium batteries,Lithium-ion batteries / LFP cathode,United States,South Korea,KOR,manufacturing,,,,,,,example_not_audited,"Example structure only. Fill enabled revenue, attribution, shares, margins, and audited evidence before using estimates.",https://doi.org/10.1149/1.1837571,Model-based starter row using batteries_materials_semiconductors_hardware role-weight defaults; monetary estimates intentionally blank.
