ID,Confidence_tier,Broad_area,Field_or_platform,Paper_or_discovery,Country_or_countries,Institution_at_publication,Authors,Year,DOI_or_link,Public_or_private,Organization_type,Billionaire_rationale,Notes
1,High-confidence,Technology / Computer Networks,Networking / Ethernet,Ethernet: Distributed packet switching for local computer networks,USA,Xerox PARC,Robert M. Metcalfe; David R. Boggs,1976,https://doi.org/10.1145/360248.360253,Private,Private company research lab,Ethernet became a core LAN and datacenter networking standard; the Ethernet hardware ecosystem is a large multi-billion-dollar market.,Platform impact; revenue is ecosystem-wide rather than paper-owned.
2,High-confidence,Technology / Cryptography,Public-key cryptography / Internet security,New directions in cryptography / Diffie-Hellman key exchange,USA,Stanford University,Whitfield Diffie; Martin Hellman,1976,https://doi.org/10.1109/TIT.1976.1055638,Private,Private nonprofit university,"Foundational to secure Internet communications, TLS/PKI, e-commerce, VPNs, and cybersecurity infrastructure.",Commercial impact is diffuse across Internet security and digital commerce.
3,High-confidence,Technology / Cryptography,Public-key cryptography / Internet security,A method for obtaining digital signatures and public-key cryptosystems / RSA,USA,MIT,Ronald Rivest; Adi Shamir; Leonard Adleman,1978,https://doi.org/10.1145/359340.359342,Private,Private nonprofit university,"RSA became foundational to digital signatures, certificates, secure software, payments, and enterprise security.",Commercial impact is mainly through standards and implementations.
4,High-confidence,Technology / Computer Architecture,RISC architecture,The case for the reduced instruction set computer,USA,"University of California, Berkeley",David A. Patterson; David R. Ditzel,1980,https://doi.org/10.1145/641914.641917,Public,Public university,"RISC ideas influenced modern processors, including Arm-based CPUs and embedded/mobile chips shipped at massive scale.",Attribution is architecture-platform level.
5,High-confidence,Chemistry / Energy Materials,Lithium-ion batteries / layered oxide cathodes,LiCoO2 cathode for rechargeable lithium batteries,UK,University of Oxford,Koichi Mizushima; Philip C. Jones; Philip J. Wiseman; John B. Goodenough,1980,https://doi.org/10.1016/0025-5408(80)90012-4,Public,Public university,"Layered lithium cobalt oxide became a central lithium-ion cathode chemistry, enabling portable electronics and later battery industries.",One of the clearest battery billionaire papers.
6,High-confidence,Engineering / Semiconductor Manufacturing,Chemical amplification photoresists / lithography,Chemical amplification in the design of dry developing resist materials,USA,IBM Research; academic collaborators,Hiroshi Ito; C. Grant Willson; Jean M. J. Frechet,1983,https://doi.org/10.1002/pen.760231807,Mixed,Private company research lab plus academic collaborators,"Chemical amplification became central to advanced lithography from deep-UV to EUV, underpinning semiconductor manufacturing.",Commercial impact is across semiconductor fabs and materials suppliers.
7,High-confidence,Materials Science / Electromechanical Systems,Nd-Fe-B rare-earth permanent magnets,Permanent magnet materials based on the rare earth-iron-boron tetragonal compounds,Japan,Sumitomo Special Metals,Masato Sagawa; S. Fujimura; N. Togawa; H. Yamamoto; Y. Matsuura,1984,https://doi.org/10.1109/TMAG.1984.1063214,Private,Private company,"NdFeB magnets became critical for EV motors, wind turbines, hard disks, robotics, and consumer electronics.",Large materials-platform impact.
8,High-confidence,Engineering / Agricultural Biotechnology,Herbicide-tolerant crops,Glyphosate-tolerant plant cells,USA,Calgene,R. T. Comai; D. Facciotti; W. R. Hiatt; G. Thompson; R. E. Rose; D. M. Stalker,1985,https://doi.org/10.1038/317741a0,Private,Private company,Helped enable herbicide-tolerant genetically modified crops and associated seed/herbicide markets.,Platform link to GM crop commercialization.
9,High-confidence,Biology / Diagnostics,PCR molecular amplification,Enzymatic amplification of beta-globin genomic sequences and restriction site analysis for diagnosis of sickle cell anemia,USA,Cetus Corporation,Randall K. Saiki; Stephen Scharf; Fred Faloona; Kary Mullis; Glenn Horn; Henry Erlich; Norman Arnheim,1985,https://doi.org/10.1126/science.2999980,Private,Private company,"PCR became foundational to diagnostics, sequencing, forensics, pathogen testing, and biotech R&D.",One of the clearest biology-platform billionaire papers.
10,High-confidence,Biology / Biopharma,Recombinant erythropoietin,Cloning and expression of the human erythropoietin gene,USA,Amgen,Fu-Kuen Lin; Shwu Suggs; Chia-Huei Lin; Joan K. Browne; Randall Smalling; James C. Egrie; Kenneth K. Chen; Gary M. Fox; Frank Martin; Zonzang Stabinsky; et al.,1985,https://doi.org/10.1073/pnas.82.22.7580,Private,Private company,Recombinant EPO became one of the first blockbuster biologics and created a large biologics market segment.,Direct drug-class revenue.
11,High-confidence,Biology / Antibody Engineering,Phage display,Filamentous fusion phage: novel expression vectors that display cloned antigens on the virion surface,USA,University of Missouri,George P. Smith,1985,https://doi.org/10.1126/science.4001944,Public,Public university,"Phage display became a key method for antibody discovery and optimization, supporting multiple blockbuster antibody drugs.",Technology-platform revenue across many drugs.
12,High-confidence,Biology / Antibody Therapeutics,Humanized antibodies / CDR grafting,Replacing the complementarity-determining regions in a human antibody with those from a mouse,UK,MRC Laboratory of Molecular Biology,Paul T. Jones; Paul H. Dear; Jonathan Foote; Michael S. Neuberger; Greg Winter,1986,https://doi.org/10.1038/321522a0,Public,Public research institute,Humanization helped make therapeutic antibodies commercially viable by reducing immunogenicity.,Critical enabling paper for antibody therapeutics.
13,High-confidence,Biology / Genomics,Sanger DNA sequencing,DNA sequencing with chain-terminating inhibitors,UK,MRC Laboratory of Molecular Biology,Frederick Sanger; Steven Nicklen; Alan R. Coulson,1977,https://doi.org/10.1073/pnas.74.12.5463,Public,Public research institute,"Sanger sequencing powered decades of genomics, diagnostics, biotech, and the Human Genome Project.",Outside direct product ownership but foundational.
14,High-confidence,Biology / Pharma,Statins / HMG-CoA reductase inhibitors,ML-236B / compactin and inhibition of HMG-CoA reductase,Japan,Sankyo,Akira Endo; Masao Kuroda; Yoshio Tsujita; collaborators,1977,https://doi.org/10.1111/j.1432-1033.1977.tb11637.x,Private,Private company,"Statins became among the most commercially successful drug classes, including multi-billion-dollar products such as Lipitor.",Direct drug-class revenue.
15,High-confidence,Biology / Pharma,ACE inhibitors / cardiovascular drugs,Design of specific inhibitors of angiotensin-converting enzyme; captopril,USA,Squibb Institute,Miguel A. Ondetti; Barry Rubin; David W. Cushman,1977,https://doi.org/10.1126/science.191908,Private,Private company,"Captopril launched the ACE-inhibitor class, followed by multiple blockbuster cardiovascular medicines.",Direct drug-class revenue.
