paper_id,year,paper_or_discovery,field_or_platform,broad_area,origin_country_list,public_private_origin,pi_platform_family,pi_capability,science_acceleration_domain,pi_relevance,classification_basis
1,1976,Ethernet: Distributed packet switching for local computer networks,Networking / Ethernet,Technology / Computer Networks,United States,Private,"Compute, data and network infrastructure",Learn from physical-world data,Digital infrastructure,Enabling digital infrastructure,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
2,1976,New directions in cryptography / Diffie-Hellman key exchange,Public-key cryptography / Internet security,Technology / Cryptography,United States,Private,Digital trust and market infrastructure,Learn from physical-world data,Digital infrastructure,Adjacent economic platform,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
2,1976,New directions in cryptography / Diffie-Hellman key exchange,Public-key cryptography / Internet security,Technology / Cryptography,United States,Private,Digital trust and market infrastructure,Secure and coordinate infrastructure,Digital infrastructure,Adjacent economic platform,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
3,1978,A method for obtaining digital signatures and public-key cryptosystems / RSA,Public-key cryptography / Internet security,Technology / Cryptography,United States,Private,Digital trust and market infrastructure,Learn from physical-world data,Digital infrastructure,Adjacent economic platform,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
3,1978,A method for obtaining digital signatures and public-key cryptosystems / RSA,Public-key cryptography / Internet security,Technology / Cryptography,United States,Private,Digital trust and market infrastructure,Secure and coordinate infrastructure,Digital infrastructure,Adjacent economic platform,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
4,1980,The case for the reduced instruction set computer,RISC architecture,Technology / Computer Architecture,United States,Public,"Compute, data and network infrastructure",Indirect enabling context,Cross-domain science infrastructure,Enabling digital infrastructure,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
5,1980,LiCoO2 cathode for rechargeable lithium batteries,Lithium-ion batteries / layered oxide cathodes,Chemistry / Energy Materials,United Kingdom,Public,Batteries and energy storage,Manipulate and manufacture,Chemistry and materials,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
5,1980,LiCoO2 cathode for rechargeable lithium batteries,Lithium-ion batteries / layered oxide cathodes,Chemistry / Energy Materials,United Kingdom,Public,Batteries and energy storage,Manipulate and manufacture,Aerospace and mobility,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
5,1980,LiCoO2 cathode for rechargeable lithium batteries,Lithium-ion batteries / layered oxide cathodes,Chemistry / Energy Materials,United Kingdom,Public,Batteries and energy storage,Manipulate and manufacture,Energy and climate,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
5,1980,LiCoO2 cathode for rechargeable lithium batteries,Lithium-ion batteries / layered oxide cathodes,Chemistry / Energy Materials,United Kingdom,Public,Batteries and energy storage,Manipulate and manufacture,Manufacturing,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
5,1980,LiCoO2 cathode for rechargeable lithium batteries,Lithium-ion batteries / layered oxide cathodes,Chemistry / Energy Materials,United Kingdom,Public,Batteries and energy storage,Synthesize and test,Chemistry and materials,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
5,1980,LiCoO2 cathode for rechargeable lithium batteries,Lithium-ion batteries / layered oxide cathodes,Chemistry / Energy Materials,United Kingdom,Public,Batteries and energy storage,Synthesize and test,Aerospace and mobility,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
5,1980,LiCoO2 cathode for rechargeable lithium batteries,Lithium-ion batteries / layered oxide cathodes,Chemistry / Energy Materials,United Kingdom,Public,Batteries and energy storage,Synthesize and test,Energy and climate,Direct physical-intelligence substrate,Rule-based keyword mapping for the Physical Intelligence thesis layer; audit before using as a formal taxonomy.
