paper_id,paper_or_discovery,field_or_platform,origin_country,origin_country_iso3,beneficiary_country,beneficiary_country_iso3,beneficiary_role,value_capture_channel,scenario,enabled_market_revenue_usd,paper_attribution_factor,country_capture_share,country_revenue_capture_usd,role_margin,country_profit_proxy_usd,value_type,estimate_basis,confidence,evidence_urls,notes,assumption_status,partial_country_benefit_layer
5,LiCoO2 cathode for rechargeable lithium batteries,Lithium-ion batteries / layered oxide cathodes,United Kingdom,GBR,China,CHN,manufacturing,Manufacturing scale; supply-chain clustering; exports; domestic EV/storage demand,low,,,0.25,,,,value_added,"China captured major downstream and midstream lithium-ion battery value; IEA reports China had 70% of electric car production, over 80% of battery cell production, about 85% of cathode active material, and over 90% of anode active material in 2025.",High,https://www.iea.org/reports/global-ev-outlook-2026/manufacturing-and-trade; https://www.iea.org/reports/energy-technology-perspectives-2026/supply-chain-risks-and-industrial-competitiveness,Applies to lithium-ion batteries broadly; LiCoO2 historical value was also captured by Japan/Korea/US/EU electronics firms.,Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,True
5,LiCoO2 cathode for rechargeable lithium batteries,Lithium-ion batteries / layered oxide cathodes,United Kingdom,GBR,China,CHN,manufacturing,Manufacturing scale; supply-chain clustering; exports; domestic EV/storage demand,base,,,0.4,,,,value_added,"China captured major downstream and midstream lithium-ion battery value; IEA reports China had 70% of electric car production, over 80% of battery cell production, about 85% of cathode active material, and over 90% of anode active material in 2025.",High,https://www.iea.org/reports/global-ev-outlook-2026/manufacturing-and-trade; https://www.iea.org/reports/energy-technology-perspectives-2026/supply-chain-risks-and-industrial-competitiveness,Applies to lithium-ion batteries broadly; LiCoO2 historical value was also captured by Japan/Korea/US/EU electronics firms.,Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,True
5,LiCoO2 cathode for rechargeable lithium batteries,Lithium-ion batteries / layered oxide cathodes,United Kingdom,GBR,China,CHN,manufacturing,Manufacturing scale; supply-chain clustering; exports; domestic EV/storage demand,high,,,0.6,,,,value_added,"China captured major downstream and midstream lithium-ion battery value; IEA reports China had 70% of electric car production, over 80% of battery cell production, about 85% of cathode active material, and over 90% of anode active material in 2025.",High,https://www.iea.org/reports/global-ev-outlook-2026/manufacturing-and-trade; https://www.iea.org/reports/energy-technology-perspectives-2026/supply-chain-risks-and-industrial-competitiveness,Applies to lithium-ion batteries broadly; LiCoO2 historical value was also captured by Japan/Korea/US/EU electronics firms.,Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,True
7,Permanent magnet materials based on the rare earth-iron-boron tetragonal compounds,Nd-Fe-B rare-earth permanent magnets,Japan,JPN,China,CHN,manufacturing,Materials processing; magnet manufacturing; component supply; export leverage,low,,,0.45,,,,value_added,IEA reports China produced 91% of refined magnet rare-earth output and 94% of sintered permanent magnets in 2024.,High,https://www.iea.org/reports/rare-earth-elements/executive-summary,"Paper originated in Japan, but China captured much of the downstream magnet supply-chain value.",Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,True
7,Permanent magnet materials based on the rare earth-iron-boron tetragonal compounds,Nd-Fe-B rare-earth permanent magnets,Japan,JPN,China,CHN,manufacturing,Materials processing; magnet manufacturing; component supply; export leverage,base,,,0.65,,,,value_added,IEA reports China produced 91% of refined magnet rare-earth output and 94% of sintered permanent magnets in 2024.,High,https://www.iea.org/reports/rare-earth-elements/executive-summary,"Paper originated in Japan, but China captured much of the downstream magnet supply-chain value.",Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,True
7,Permanent magnet materials based on the rare earth-iron-boron tetragonal compounds,Nd-Fe-B rare-earth permanent magnets,Japan,JPN,China,CHN,manufacturing,Materials processing; magnet manufacturing; component supply; export leverage,high,,,0.85,,,,value_added,IEA reports China produced 91% of refined magnet rare-earth output and 94% of sintered permanent magnets in 2024.,High,https://www.iea.org/reports/rare-earth-elements/executive-summary,"Paper originated in Japan, but China captured much of the downstream magnet supply-chain value.",Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,True
19,Organic electroluminescent diodes,OLED displays / organic electronics,United States,USA,China,CHN,manufacturing,Panel production; module integration; device assembly; domestic and export markets,low,,,0.15,,,,value_added,Chinese OLED/display makers have become major smartphone display suppliers; Omdia coverage tracks Chinese and Korean OLED shipment volumes in 2025.,Medium,https://omdia.tech.informa.com/om143769/display-dynamics--december-2025-2025-smartphone-display-highlights,"South Korea historically captured large OLED value; China share is rising, so use sensitivity bands.",Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,True
19,Organic electroluminescent diodes,OLED displays / organic electronics,United States,USA,China,CHN,manufacturing,Panel production; module integration; device assembly; domestic and export markets,base,,,0.3,,,,value_added,Chinese OLED/display makers have become major smartphone display suppliers; Omdia coverage tracks Chinese and Korean OLED shipment volumes in 2025.,Medium,https://omdia.tech.informa.com/om143769/display-dynamics--december-2025-2025-smartphone-display-highlights,"South Korea historically captured large OLED value; China share is rising, so use sensitivity bands.",Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,True
19,Organic electroluminescent diodes,OLED displays / organic electronics,United States,USA,China,CHN,manufacturing,Panel production; module integration; device assembly; domestic and export markets,high,,,0.5,,,,value_added,Chinese OLED/display makers have become major smartphone display suppliers; Omdia coverage tracks Chinese and Korean OLED shipment volumes in 2025.,Medium,https://omdia.tech.informa.com/om143769/display-dynamics--december-2025-2025-smartphone-display-highlights,"South Korea historically captured large OLED value; China share is rising, so use sensitivity bands.",Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,True
22,22.8% efficient silicon solar cell / passivated emitter rear cell architecture,PERC silicon solar cells,Australia,AUS,China,CHN,manufacturing,Manufacturing capacity; exports; domestic installations; equipment supply,low,,,0.55,,,,value_added,IEA says China’s share exceeds 80% across all solar-panel manufacturing stages and will approach 95% for key building blocks under capacity under construction.,High,https://www.iea.org/reports/solar-pv-global-supply-chains/executive-summary,Paper originated in Australia; China captured much of PERC-era PV manufacturing value.,Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,True
