Paper_ID,Paper_or_discovery,Field_or_platform,Origin_country_or_countries,Beneficiary_country,Beneficiary_country_iso3,Beneficiary_role,Value_capture_channels,Benefit_strength,Benefit_confidence,Revenue_capture_share_low_pct,Revenue_capture_share_base_pct,Revenue_capture_share_high_pct,Estimate_basis,Evidence_urls,Value_capture_notes,Assumption_status,Update_date
5,LiCoO2 cathode for rechargeable lithium batteries,Lithium-ion batteries / layered oxide cathodes,UK,China,CHN,Battery cell manufacturing; cathode/anode active materials; EV manufacturing; stationary storage deployment,Manufacturing scale; supply-chain clustering; exports; domestic EV/storage demand,Very high,High,25,40,60,"China captured major downstream and midstream lithium-ion battery value; IEA reports China had 70% of electric car production, over 80% of battery cell production, about 85% of cathode active material, and over 90% of anode active material in 2025.",https://www.iea.org/reports/global-ev-outlook-2026/manufacturing-and-trade; https://www.iea.org/reports/energy-technology-perspectives-2026/supply-chain-risks-and-industrial-competitiveness,Applies to lithium-ion batteries broadly; LiCoO2 historical value was also captured by Japan/Korea/US/EU electronics firms.,Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,2026-06-04
7,Permanent magnet materials based on the rare earth-iron-boron tetragonal compounds,Nd-Fe-B rare-earth permanent magnets,Japan,China,CHN,Rare-earth refining; sintered NdFeB magnet manufacturing; EV motors; wind turbines; electronics supply chains,Materials processing; magnet manufacturing; component supply; export leverage,Very high,High,45,65,85,IEA reports China produced 91% of refined magnet rare-earth output and 94% of sintered permanent magnets in 2024.,https://www.iea.org/reports/rare-earth-elements/executive-summary,"Paper originated in Japan, but China captured much of the downstream magnet supply-chain value.",Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,2026-06-04
19,Organic electroluminescent diodes,OLED displays / organic electronics,USA,China,CHN,OLED/display-panel manufacturing; smartphone and consumer-electronics assembly; display supply-chain scaling,Panel production; module integration; device assembly; domestic and export markets,High,Medium,15,30,50,Chinese OLED/display makers have become major smartphone display suppliers; Omdia coverage tracks Chinese and Korean OLED shipment volumes in 2025.,https://omdia.tech.informa.com/om143769/display-dynamics--december-2025-2025-smartphone-display-highlights,"South Korea historically captured large OLED value; China share is rising, so use sensitivity bands.",Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,2026-06-04
22,22.8% efficient silicon solar cell / passivated emitter rear cell architecture,PERC silicon solar cells,Australia,China,CHN,Solar PV wafer/cell/module manufacturing; PV manufacturing equipment; large-scale deployment,Manufacturing capacity; exports; domestic installations; equipment supply,Very high,High,55,70,85,IEA says China’s share exceeds 80% across all solar-panel manufacturing stages and will approach 95% for key building blocks under capacity under construction.,https://www.iea.org/reports/solar-pv-global-supply-chains/executive-summary,Paper originated in Australia; China captured much of PERC-era PV manufacturing value.,Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,2026-06-04
24,Near Shannon limit error-correcting coding and decoding: Turbo-codes,Turbo codes / channel coding,France,China,CHN,"Telecom equipment, mobile-network deployment, handset ecosystem, mobile data services",Network infrastructure; standards implementation; mobile services; cloud/IoT applications,High,Medium,10,20,35,China had 4.838 million 5G base stations and about US$250.8B telecom business revenue in 2025; China also declared 42% of global 5G standard-essential patents.,https://english.www.gov.cn/archive/statistics/202601/28/content_WS6979f123c6d00ca5f9a08ce7.html; https://www.gsma.com/mobileeconomy/china/,Turbo codes are earlier-generation channel coding; China benefit is via telecom platform adoption rather than paper-specific royalties.,Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,2026-06-04
25,Active pixel sensors: are CCDs dinosaurs?,CMOS active-pixel image sensors,USA,China,CHN,Device manufacturing; smartphone cameras; automotive/industrial vision; security-camera ecosystems,Electronics manufacturing; camera module integration; phones; automotive/IoT vision,High,Medium,15,25,40,China benefits through large-scale electronics and camera-module supply chains; Yole notes China’s share rise in the CMOS image sensor landscape.,https://www.yolegroup.com/product/report/status-of-the-cmos-image-sensor-industry-2025/,"Core image-sensor IP and high-end sensor profits remain globally distributed, especially Japan, US, Korea, Europe and Taiwan-linked supply chains.",Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,2026-06-04
26,Candela-class high-brightness InGaN/AlGaN double-heterostructure blue-light-emitting diodes,High-brightness blue GaN LED,Japan,China,CHN,LED lighting manufacturing; displays; automotive lighting; consumer electronics,Lighting product manufacturing; exports; domestic efficiency mandates; device integration,High,Medium,25,40,60,China is a large LED lighting market and production base; market sources estimate major China participation in LED lighting demand and supply.,https://www.mordorintelligence.com/industry-reports/china-led-lighting-market; https://www.gminsights.com/industry-analysis/led-lighting-market,"Blue LED breakthrough originated in Japan; value capture is shared with Japan, Korea, Taiwan, US/EU brands and China manufacturing.",Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,2026-06-04
28,Layered space-time architecture for wireless communication in a fading environment when using multi-element antennas,MIMO / BLAST layered space-time architecture,USA,China,CHN,4G/5G telecom equipment; massive mobile-network deployment; handset and mobile-service ecosystems,Network equipment; mobile services; device supply chain; industrial internet,High,Medium,15,30,45,"MIMO is a central wireless-network technology; China had 4.838 million 5G base stations, 1.204 billion 5G subscriptions, and 5G/industrial internet coverage across major categories by end-2025.",https://english.www.gov.cn/archive/statistics/202601/28/content_WS6979f123c6d00ca5f9a08ce7.html; https://www.gsma.com/mobileeconomy/china/,"Value also captured by US, Europe, Korea, Japan, India and global operators.",Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,2026-06-04
31,Phospho-olivines as positive-electrode materials for rechargeable lithium batteries,Lithium-ion batteries / LFP cathode,USA,China,CHN,LFP battery cell manufacturing; cathode active material; EV batteries; grid storage,Battery supply chain; LFP cathode scaling; EV exports; stationary storage,Very high,High,45,60,75,"China is the major global production hub for EV batteries and active materials; IEA reports over 80% battery cell production, about 85% cathode active material, and over 90% anode active material in 2025.",https://www.iea.org/reports/global-ev-outlook-2026/manufacturing-and-trade; https://www.iea.org/reports/energy-technology-perspectives-2026/supply-chain-risks-and-industrial-competitiveness,"LFP commercialization is especially associated with Chinese battery and EV scaling, though origin paper was from the US.",Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,2026-06-04
38,The Google File System,Google File System / cloud data infrastructure,USA,China,CHN,Large-scale cloud/data infrastructure; China domestic cloud platforms; data centers; Internet services,Cloud services; big data infrastructure; Internet platforms; data-center operations,Medium,Medium,10,20,35,"China telecom/digital infrastructure data show cloud computing, big data, IoT and data centers as significant emerging businesses; Google-scale architecture influenced global cloud design patterns.",https://english.www.gov.cn/archive/statistics/202601/28/content_WS6979f123c6d00ca5f9a08ce7.html,Indirect ecosystem influence; not a direct China implementation of Google File System.,Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,2026-06-04
